Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 4.25 0 0.75 0 NA NA NA NA 0 0 0 0 NA NA NA NA
0.75 4.25 0 0.9125 0.0273560827451208 4104.05208333333 182.496964824456 808.636787026989 183.298114799058 1.65 0.264326353307103 0.5 0.198679853559757 1 0 0.208333333333333 0.0713624032148063
1.95 4.25 0 1 0.0256494588021289 4160.31398809524 155.067817676385 895.014027629528 153.537230799572 2.9 0.0688247201611685 0.5 0.198679853559757 0.933928571428571 0.0381038034700333 0.158333333333333 0.0678351545080757
2.95 4.25 0 1 0.0181369062527503 3956.01 147.614875181513 1150.62781936962 148.120170666889 2.95 0.05 0.8 0.224780594779607 0.9075 0.0373945886881765 0.24 0.0694843160392228
4.45 4.25 0 1.0625 0.0248349816949696 3389.295 155.748557045356 1816.17648627667 132.864937990212 3 0 0.5 0.198679853559757 0.7325 0.0428084780093112 0.118333333333333 0.0485144820724723
7.87 4.25 0 1.175 0.0447948540277611 2776.89523809524 127.909471805657 2181.4022163304 74.7682796190588 3 0 0.8 0.224780594779607 0.573928571428571 0.0317076849122093 0.144166666666667 0.0417153224685483
14 4.25 0 1.575 0.0656445772803496 1762.91195256133 70.759475893277 2134.06757432366 29.6956159739861 3 0 1.2 0.224780594779607 0.334247835497836 0.0153549983060239 0.133578643578644 0.02636559161566
1.35 4.25 0 0.9375 0.0248349816949696 4013.98245614035 166.387698425873 673.450262706905 134.359342790891 2.25 0.216126181467654 0.5 0.198679853559757 0.943859649122807 0.0388930657740187 0.178947368421053 0.0723592941258672
3.225 4.25 0 1.025 0.0172061800402921 4193.50416666667 103.925121435167 916.475796845803 93.6471225134271 3 0 0.4 0.183532587096449 0.9625 0.0273560827451208 0.125 0.0578299078817703
1000 4.25 0 4 0 762.369565217391 0 1577.28182627144 0 3 0 2 0 0.130434782608696 0 0.0869565217391304 0
