Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 0.578571428571428 0.00714285714285715 0 0 NA NA NA NA 0 0 0 0 NA NA NA NA
0.75 0.571428571428571 0 0.0714285714285715 0.0163868381336116 5409.35728174603 170.445127753277 1348.49039576578 162.318788879963 6.2 0.374165738677394 3.6 0.335606285619576 1 0 0.611071428571428 0.0639833352610347
1.95 0.571428571428571 0 0.171428571428572 0.0131094705068893 4637.36027777778 56.2429237484999 1216.96397656596 73.3432372515478 9.05 0.05 4.2 0.312881346267407 0.985 0.00819178021909125 0.456666666666666 0.0342931974568262
2.95 0.571428571428571 0 0.185714285714286 0.0182476106759573 4677.21191919192 67.7817094312921 1346.11835553699 76.1286673814588 9 0 4.5 0.198679853559757 0.970909090909091 0.0121538635188199 0.485050505050505 0.0219243973759013
4.45 0.571428571428571 0 0.257142857142857 0.0222281887204429 4413.60217171717 61.4900859942782 1598.34147731809 81.8082301156895 9 0 4.5 0.198679853559757 0.922727272727273 0.0144870237867968 0.463434343434343 0.0243182404743019
7.87 0.571428571428571 0 0.485714285714286 0.0379382731174221 3833.07267232767 84.0208217673405 2078.96504013578 49.317403687889 9 0 4.2 0.137649440322337 0.79750999000999 0.0182517089955254 0.372782217782218 0.0159969087553338
14 0.571428571428571 0 1.19285714285714 0.0641184122082192 2708.2655873753 76.1095311752062 2464.57749799642 10.1093093771583 9 0 4 0 0.558720698805838 0.0160604685571862 0.248320310580373 0.00713798602541609
1.35 0.571428571428571 0 0.121428571428572 0.0117025431701304 4980.35277777778 93.8474402278221 1323.8925501175 88.372378750898 8.45 0.211199581339298 4.75 0.216126181467654 1 0 0.57063492063492 0.0323506541627881
3.225 0.571428571428571 0 0.164285714285714 0.0156320472829262 4748.84803030303 48.3558346351488 1277.4767910405 58.0678645291852 9 0 5.2 0.224780594779607 0.985909090909091 0.0101419889126324 0.569494949494949 0.0252688517132066
1000 0.571428571428571 0 5.42857142857143 0 989.402173913043 0 1920.68004339772 0 9 0 4 0 0.195652173913043 0 0.0869565217391304 0
