Density CO_mean CO_se NCO_mean NCO_se Tract_mean Tract_se TractSD_mean TractSD_se Count_2kb_mean Count_2kb_se Count_5kb_mean Count_5kb_se Prop_2kb_mean Prop_2kb_se Prop_5kb_mean Prop_5kb_se
0.05 1 0 0.6 0 NA NA NA NA 0 0 0 0 NA NA NA NA
0.75 1 0 0.6 0 6596.125 353.357391626531 1079.90481100574 260.371848550383 3.1 0.228265773075805 2 0.290190500044005 1 0 0.625 0.0879219151173058
1.95 1 0 0.68 0.0267542421623976 6203.3575 166.529762800393 2334.67361945009 173.465895742189 4 0.125656172487509 2.4 0.183532587096449 0.941666666666667 0.0205017471798601 0.576666666666667 0.0481287260272475
2.95 1 0 0.8 0.0383885947974957 5406.86583333333 175.554095078811 2770.82901803822 136.71007890256 4.05 0.05 2.15 0.109424330980483 0.831904761904762 0.0317472639694022 0.440952380952381 0.0260210973186938
4.45 1 0 1.04 0.0591162992930483 4544.83690476191 157.443322873798 3338.89999758784 60.5747526599679 4.05 0.05 2.15 0.109424330980483 0.677043650793651 0.027318349410202 0.354146825396825 0.0149479409781065
7.87 1 0 2.15 0.0927645576602117 2689.88833978522 128.024868315378 3312.8648011994 54.7013262500508 4.35 0.109424330980483 2.35 0.109424330980483 0.382258158508159 0.019188798994022 0.206537629037629 0.0132892486816318
14 1 0 4.71 0.181499601275479 1410.13434501174 44.9024368724418 2604.51951302453 50.1381594569855 4.85 0.15 2.6 0.112390297389803 0.195885097458005 0.00600299294480108 0.106004755874517 0.00564415154507937
1.35 1 0 0.66 0.0210262993215139 6250.405 125.270734437773 2362.69484100844 179.508390854377 4 0.102597835208515 2.5 0.198679853559757 0.98 0.0137649440322337 0.621666666666667 0.0525532311591129
3.225 1 0 0.81 0.0396696888130764 5360.96988095238 180.891172570878 2831.69752342964 139.368799585386 4.05 0.05 2.1 0.1 0.823809523809524 0.0311493635566138 0.421190476190476 0.0155899041941237
1000 1 0 20.8 0 424.434579439252 0 1372.40716097341 0 6 0 3 0 0.0560747663551402 0 0.0280373831775701 0
