tetrad#	chr#	pos(bp)	co_type	chromatids	GCasso_tract_len	GCasso_marker#	#GCasso	snp_start_out	snp_start_in	snp_end_in	snp_end_out
1	1	51545.0	0	[1, 4]	0	0	0	39521	63569	39521	63569
1	1	160870.5	1	[2, 3]	3614.0	15	1	157129	160998	162565	162790
1	2	417343.0	0	[2, 4]	0	0	0	416746	417940	416746	417940
1	2	1088903.0	0	[1, 4]	0	0	0	1083441	1094365	1083441	1094365
1	2	122267.0	1	[2, 3]	2787.0	4	1	123309	124012	118745	123002
1	2	1177387.5	0	[3, 4]	0	0	0	1121925	1232850	1121925	1232850
1	2	1006636.0	0	[1, 4]	0	0	0	1006428	1006844	1006428	1006844
1	2	293166.25	1	[2, 4]	582.5	1	1	292460	293290	293290	293625
1	2	827316.0	0	[2, 3]	0	0	0	820991	833641	820991	833641
1	2	27157.0	1	[2, 3]	2152.0	7	1	24731	27431	27870	28596
1	3	220015.0	0	[3, 4]	0	0	0	216347	223683	216347	223683
1	3	273493.5	0	[1, 4]	0	0	0	263055	283932	263055	283932
1	3	122841.25	1	[1, 3]	859.5	1	1	122625	123917	122198	122625
1	4	781858.75	1	[3, 4]	7098.5	10	1	772632	783987	785251	785565
1	4	199413.5	0	[1, 3]	0	0	0	198215	200612	198215	200612
1	4	479394.5	0	[1, 3]	0	0	0	418704	540085	418704	540085
1	4	22275.5	0	[3, 4]	0	0	0	19707	24844	19707	24844
1	5	96877.0	0	[1, 3]	0	0	0	86837	106917	86837	106917
1	5	61225.0	0	[1, 3]	0	0	0	60511	61939	60511	61939
1	5	361825.0	0	[2, 4]	0	0	0	343625	380025	343625	380025
1	5	245241.5	0	[2, 4]	0	0	0	244548	245935	244548	245935
1	6	73799.5	0	[2, 3]	0	0	0	69747	77852	69747	77852
1	6	136601.5	0	[1, 4]	0	0	0	136116	137087	136116	137087
1	6	329572.5	8	[1, 4]	4641.0	14	1	331747	332039	326650	327854
1	7	448483.5	0	[1, 4]	0	0	0	442838	454129	442838	454129
1	7	807013.25	1	[1, 4]	2663.5	5	1	804380	806983	807783	808907
1	7	940590.25	1	[1, 4]	7844.5	16	1	944457	944568	935772	937564
1	8	736501.0	1	[1, 4]	3495.0	12	1	734139	735368	737416	739081
1	8	393248.5	0	[1, 4]	0	0	0	370029	416468	370029	416468
1	8	497899.0	0	[2, 3]	0	0	0	496866	498932	496866	498932
1	8	239647.5	0	[2, 3]	0	0	0	239123	240172	239123	240172
1	8	48116.0	1	[2, 3]	25135.0	18	1	60249	61118	16824	54273
1	9	57044.0	0	[1, 4]	0	0	0	37580	76508	37580	76508
1	10	484783.0	0	[2, 3]	0	0	0	484687	484879	484687	484879
1	10	866803.0	0	[1, 3]	0	0	0	865712	867894	865712	867894
1	10	891040.5	1	[1, 2]	2660.0	6	1	891313	893428	889496	889925
1	10	562375.5	0	[1, 4]	0	0	0	546058	578693	546058	578693
1	10	180847.5	0	[2, 3]	0	0	0	179332	182363	179332	182363
1	10	423784.5	1	[1, 4]	5471.0	318	1	426506	426534	421022	421076
1	10	915558.25	1	[3, 4]	3299.5	13	1	916779	917637	913635	914182
1	11	154434.75	1	[2, 3]	9116.5	1	1	142031	157722	157722	160264
1	11	467843.0	0	[1, 4]	0	0	0	435879	499807	435879	499807
1	11	66023.5	0	[1, 4]	0	0	0	49580	82467	49580	82467
