chr start end mid COcount NCOcount SNPcount cross Introgression CO_NCO_ratio telomere_dist homology GC
1 1 20000 10000.5 0 0 0 natural 0 NA 10000.5 0.998349917495875 0.4293
1 20001 40000 30000.5 0 0 1 natural 0 NA 30000.5 0.999949997499875 0.4647
1 40001 60000 50000.5 7 9.28505106778087 26 natural 0 0.7539 50000.5 0.99869993499675 0.4379
1 60001 80000 70000.5 5 0 40 natural 0 Inf 70000.5 0.997999899995 0.4074
1 80001 1e+05 90000.5 3 10.3626943005181 52 natural 0 0.2895 90000.5 0.9973998699935 0.4584
1 100001 120000 110000.5 14 0 19 natural 0 Inf 79980.5 0.998374918745937 0.434
1 120001 140000 130000.5 0 0 39 natural 0 NA 59980.5 0.998049902495125 0.38075
1 140001 160000 150000.5 25 0 1 natural 0 Inf 39980.5 0.999849992499625 0.4147
1 160001 180000 170000.5 12 20.9041024301019 95 natural 0 0.57405 19980.5 0.995199759987999 0.4155
1 180001 2e+05 190000.5 1 6.18046971569839 34 natural 0 0.1618 0 0.998174908745437 0.17375
2 1 20000 10000.5 4 0 36 natural 0 Inf 10000.5 0.994299714985749 0.4102
2 20001 40000 30000.5 13 15.527950310559 39 natural 0 0.8372 30000.5 0.998049902495125 0.40495
2 40001 60000 50000.5 4 0 90 natural 0 Inf 50000.5 0.995499774988749 0.3877
2 60001 80000 70000.5 5 18.2898948331047 57 natural 0 0.273375 70000.5 0.997149857492875 0.3916
2 80001 1e+05 90000.5 4 11.9521912350598 60 natural 0 0.334666666666667 90000.5 0.9969998499925 0.4054
2 100001 120000 110000.5 11 0 2 natural 0 Inf 110000.5 0.99989999499975 0.3969
2 120001 140000 130000.5 4 0 39 natural 0 Inf 130000.5 0.997999899995 0.4155
2 140001 160000 150000.5 8 0 0 natural 0 Inf 150000.5 1 0.3933
2 160001 180000 170000.5 11 0 88 natural 0 Inf 170000.5 0.995599779988999 0.40535
2 180001 2e+05 190000.5 14 21.1416490486258 47 natural 0 0.6622 190000.5 0.996349817490875 0.4654
2 200001 220000 210000.5 6.75 0 1 natural 0 Inf 210000.5 0.999949997499875 0.3908
2 220001 240000 230000.5 3.5 0 0 natural 0 Inf 230000.5 1 0.37515
2 240001 260000 250000.5 6.25 0 6 natural 0 Inf 250000.5 0.99969998499925 0.4167
2 260001 280000 270000.5 5 0 0 natural 0 Inf 270000.5 1 0.3807
2 280001 3e+05 290000.5 11.5 14.9700598802395 21 natural 0 0.7682 290000.5 0.998949947497375 0.3982
2 300001 320000 310000.5 5.5 0 1 natural 0 Inf 310000.5 0.999949997499875 0.38445
2 320001 340000 330000.5 5 0 0 natural 0 Inf 330000.5 1 0.38605
2 340001 360000 350000.5 7 0 1 natural 0 Inf 350000.5 0.999949997499875 0.3896
2 360001 380000 370000.5 7 0 0 natural 0 Inf 370000.5 1 0.39125
2 380001 4e+05 390000.5 8 0 1 natural 0 Inf 390000.5 0.999949997499875 0.3933
2 400001 420000 410000.5 7 0 0 natural 0 Inf 410000.5 0.999974998749937 0.385
2 420001 440000 430000.5 15.5 0 1 natural 0 Inf 430000.5 0.999949997499875 0.3883
2 440001 460000 450000.5 0 0 1 natural 0 NA 450000.5 0.999949997499875 0.3838
2 460001 480000 470000.5 5 0 41 natural 0 Inf 470000.5 0.997949897494875 0.38145
2 480001 5e+05 490000.5 3.5 0 66 natural 0 Inf 490000.5 0.99669983499175 0.39
2 500001 520000 510000.5 7 0 0 natural 0 Inf 510000.5 1 0.39245
2 520001 540000 530000.5 7 0 0 natural 0 Inf 530000.5 1 0.37315
2 540001 560000 550000.5 7 0 0 natural 0 Inf 550000.5 1 0.39
2 560001 580000 570000.5 7 0 0 natural 0 Inf 570000.5 1 0.39075
2 580001 6e+05 590000.5 4.5 0 1 natural 0 Inf 590000.5 0.999924996249812 0.387
2 600001 620000 610000.5 2 0 0 natural 0 Inf 610000.5 1 0.38825
2 620001 640000 630000.5 4 0 42 natural 0 Inf 630000.5 0.99789989499475 0.4162
2 640001 660000 650000.5 1 1.43451441686989 146 natural 0 0.6971 639934.5 0.992699634981749 0.3989
2 660001 680000 670000.5 5 3.30687830687831 165 natural 0 1.512 619934.5 0.991724586229311 0.37845
2 680001 7e+05 690000.5 3 0 139 natural 0 Inf 599934.5 0.993049652482624 0.37885
