tetrad	chr	pos(bp)	tract_type	tract_len	tract_min_len	tract_max_len	marker	YJM_SNP	chromatids	of_tract	snp_start_out	snp_start_in	snp_end_in	snp_end_out
1	1	105220.0	0	379.0	0	758	1	1	2	1	104824	105237	105237	105582
1	1	182103.0	0	3802.0	0	7604	1	1	1	1	178392	182012	182012	185996
1	1	160870.5	1	3614.0	1567	5661	15	1	0	1	157129	160998	162565	162790
1	1	160870.5	10	3614.0	1567	5661	15	1	0	1	157129	160998	162565	162790
1	2	140592.5	0	2864.0	1235	4493	10	1	4	1	138562	139759	140994	143055
1	2	437226.25	0	3328.5	1797	4860	8	1	3	1	434538	436586	438383	439398
1	2	579400.75	0	2039.5	767	3312	10	3	2	1	577791	578971	579738	581103
1	2	122267.0	1	2787.0	307	5267	4	3	0	1	118745	123002	123309	124012
1	2	293166.25	1	582.5	0	1165	1	3	0	1	292460	293290	293290	293625
1	2	27157.0	1	2152.0	439	3865	7	3	0	1	24731	27431	27870	28596
1	2	122267.0	10	2787.0	307	5267	4	3	0	1	118745	123002	123309	124012
1	2	293166.25	10	582.5	0	1165	1	3	0	1	292460	293290	293290	293625
1	2	27157.0	10	2152.0	439	3865	7	3	0	1	24731	27431	27870	28596
1	3	61064.75	0	326.5	0	653	1	3	3	1	60600	61203	61203	61253
1	3	260466.0	2	93.0	0	0	2	0	0	1	260349	260490	260494	260531
1	3	122841.25	1	859.5	0	1719	1	3	0	1	122198	122625	122625	123917
1	3	122841.25	10	859.5	0	1719	1	3	0	1	122198	122625	122625	123917
1	4	954710.5	0	46.0	0	92	1	3	0	1	954647	954728	954728	954739
1	4	868675.75	2	53.5	0	0	1	0	0	1	868611	868687	868687	868718
1	4	954659.5	2	56.0	0	0	2	4	0	1	954620	954643	954647	954728
1	4	105.5	3	211.0	0	0	4	1	0	1	148	159	209	213
1	4	781858.75	1	7098.5	1264	12933	10	1	0	1	772632	783987	785251	785565
1	4	781858.75	10	7098.5	1264	12933	10	1	0	1	772632	783987	785251	785565
1	6	26491.5	0	90.0	19	161	5	3	1	1	26422	26471	26490	26583
1	6	51700.25	0	299.5	25	574	2	3	3	1	51515	51586	51611	52089
1	6	139314.5	7	2666.0	2271	3061	9	3	4	1	137806	138157	140428	140867
1	6	199218.25	2	7991.5	0	0	6	4	0	1	193947	196498	197209	209219
1	6	329572.5	1	4641.0	3893	5389	14	2	0	1	326650	327854	331747	332039
1	6	329431.25	6	4358.5	3620	5097	13	1	3	1	326650	327854	331474	331747
1	6	329572.5	8	4641.0	3893	5389	14	2	0	1	326650	327854	331747	332039
1	7	90484.5	0	780.0	460	1100	2	3	2	1	90031	90158	90618	91131
1	7	519033.75	0	482.5	0	965	1	1	4	1	518555	519030	519030	519520
1	7	630784.25	0	805.5	197	1414	3	3	2	1	630153	630610	630807	631567
1	7	440438.75	2	1218.5	0	0	3	0	0	1	438732	440927	440957	441139
1	7	678157.25	2	638.5	0	0	1	0	0	1	677473	678203	678203	678750
1	7	807013.25	1	2663.5	800	4527	5	3	0	1	804380	806983	807783	808907
1	7	940590.25	1	7844.5	6893	8796	16	3	0	1	935772	937564	944457	944568
1	7	807013.25	10	2663.5	800	4527	5	3	0	1	804380	806983	807783	808907
1	7	940590.25	10	7844.5	6893	8796	16	3	0	1	935772	937564	944457	944568
1	8	151619.75	0	736.5	0	1473	1	3	3	1	150901	151602	151602	152374
1	8	519001.5	2	6.0	0	0	1	4	0	1	518997	519000	519000	519009
1	8	736501.0	1	3495.0	2048	4942	12	3	0	1	734139	735368	737416	739081
1	8	48116.0	1	25135.0	5976	44294	18	1	0	1	16824	54273	60249	61118
1	8	736501.0	10	3495.0	2048	4942	12	3	0	1	734139	735368	737416	739081
1	8	48116.0	10	25135.0	5976	44294	18	1	0	1	16824	54273	60249	61118
1	9	128860.5	0	4187.0	1837	6537	7	1	3	1	125947	127587	129424	132484
1	9	162508.0	0	63.0	45	81	3	1	3	1	162466	162487	162532	162547
1	9	189777.75	0	3.5	0	7	1	3	1	1	189775	189777	189777	189782
1	9	189791.25	0	2.5	0	5	1	3	1	1	189789	189791	189791	189794
1	9	189796.5	0	2.0	1	3	2	3	1	1	189795	189796	189797	189798
1	9	233197.0	0	12.0	0	24	1	1	4	1	233185	233197	233197	233209
1	9	257010.5	0	134.0	0	268	1	3	2	1	256885	257002	257002	257153
1	10	53909.75	0	307.5	0	615	1	3	3	1	53615	53897	53897	54230
1	10	325355.0	0	50.0	0	100	1	3	4	1	325314	325346	325346	325414
1	10	525531.75	0	4284.5	2540	6029	10	1	4	1	523167	523612	526152	529196
1	10	891040.5	1	2660.0	1388	3932	6	1	0	1	889496	889925	891313	893428
1	10	423784.5	1	5471.0	5430	5512	318	3	0	1	421022	421076	426506	426534
1	10	915558.25	1	3299.5	2597	4002	13	3	0	1	913635	914182	916779	917637
1	10	891040.5	10	2660.0	1388	3932	6	1	0	1	889496	889925	891313	893428
1	10	423784.5	10	5471.0	5430	5512	318	3	0	1	421022	421076	426506	426534
1	10	915558.25	10	3299.5	2597	4002	13	3	0	1	913635	914182	916779	917637
1	11	154434.75	1	9116.5	0	18233	1	1	0	1	142031	157722	157722	160264
1	11	559945.25	1	11855.5	0	23711	1	1	0	1	542329	565706	565706	566040
1	11	154434.75	10	9116.5	0	18233	1	1	0	1	142031	157722	157722	160264
1	11	559945.25	10	11855.5	0	23711	1	1	0	1	542329	565706	565706	566040
1	12	202742.0	1	1176.0	0	2352	1	3	0	1	201719	202589	202589	204071
1	12	202742.0	10	1176.0	0	2352	1	3	0	1	201719	202589	202589	204071
1	13	11553.75	0	28.5	12	45	3	3	3	1	11535	11544	11556	11580
1	13	293738.0	0	15121.0	452	29790	3	1	1	1	271896	300459	300911	301686
1	13	26234.75	2	29.5	0	0	1	0	0	1	26219	26221	26221	26278
1	13	90327.25	2	161.5	0	0	1	0	0	1	90242	90251	90251	90565
1	14	59478.75	7	769.5	362	1177	3	1	2	1	59035	59153	59515	60212
1	14	278624.75	0	106.5	0	213	1	3	1	1	278498	278645	278645	278711
1	14	322874.25	0	49.5	0	99	1	1	4	1	322813	322886	322886	322912
1	14	377509.25	0	103.5	0	207	1	1	4	1	377367	377548	377548	377574
1	14	464687.25	0	131.5	0	263	1	1	3	1	464604	464639	464639	464867
1	14	468395.0	0	83.0	0	166	1	1	4	1	468308	468399	468399	468474
1	14	514062.0	0	62.0	0	124	1	1	3	1	514030	514032	514032	514154
1	14	553196.5	0	583.0	0	1166	1	3	2	1	552861	552949	552949	554027
1	14	555936.5	0	499.0	0	998	1	1	3	1	555294	556080	556080	556292
1	14	584150.0	0	161.0	0	322	1	1	4	1	584014	584125	584125	584336
1	14	720631.0	0	4124.0	507	7741	3	3	1	1	716132	721006	721513	723873
1	14	249852.0	2	575.0	0	0	1	0	0	1	249127	250002	250002	250277
1	14	289120.75	2	208.5	0	0	1	0	0	1	288957	289076	289076	289374
1	14	297841.25	2	2.5	0	0	1	0	0	1	297839	297841	297841	297844
1	14	305437.75	2	203.5	0	0	1	0	0	1	305248	305424	305424	305655
1	14	315288.75	2	88.5	0	0	1	0	0	1	315186	315303	315303	315363
1	14	386434.75	2	212.5	0	0	1	0	0	1	386305	386352	386352	386730
1	14	500343.5	2	4.0	0	0	1	0	0	1	500340	500343	500343	500348
1	14	506588.75	2	119.5	0	0	1	0	0	1	506503	506555	506555	506742
1	14	525345.25	2	64.5	0	0	1	0	0	1	525273	525353	525353	525402
1	14	580902.25	2	132.5	0	0	1	0	0	1	580711	580961	580961	580976
1	14	585724.75	2	198.5	0	0	1	0	0	1	585479	585772	585772	585876
1	14	625203.75	2	822.5	0	0	1	4	0	1	624530	625055	625055	626175
1	14	62868.0	1	1457.0	733	2181	4	1	0	1	61615	62664	63397	63796
1	14	62868.0	9	1457.0	733	2181	4	1	0	1	61615	62664	63397	63796
1	15	198443.5	0	1061.0	0	2122	1	1	1	1	197519	198307	198307	199641
1	15	259021.25	0	730.5	0	1461	1	3	2	1	258434	258878	258878	259895
1	15	420877.5	0	41.0	4	78	2	1	1	1	420832	420882	420886	420910
1	15	435175.0	0	112.0	0	224	1	1	2	1	435087	435151	435151	435311
1	15	593192.5	0	1863.0	1256	2470	3	3	4	1	591864	592658	593914	594334
1	15	382764.5	2	366.0	0	0	1	4	0	1	382459	382704	382704	383191
1	15	386774.75	2	263.5	0	0	1	4	0	1	386549	386737	386737	387076
1	15	285319.75	1	392.5	0	785	1	3	0	1	284801	285446	285446	285586
1	15	285319.75	10	392.5	0	785	1	3	0	1	284801	285446	285446	285586
1	16	10900.25	0	141.5	0	283	1	1	2	1	10737	10922	10922	11020
1	16	840940.0	7	27.0	0	54	1	1	4	1	840906	840947	840947	840960
1	16	648085.0	2	469.0	0	0	1	4	0	1	647508	648193	648193	648446
2	1	182103.0	0	3802.0	0	7604	1	1	2	1	178392	182012	182012	185996
2	1	170334.0	1	1526.0	30	3022	2	3	0	1	168288	170854	170884	171310
2	1	8639.5	1	1192.0	818	1566	6	1	0	1	7875	8212	9030	9441
2	1	170334.0	10	1526.0	30	3022	2	3	0	1	168288	170854	170884	171310
2	1	8639.5	10	1192.0	818	1566	6	1	0	1	7875	8212	9030	9441
2	2	1022242.0	0	1845.0	701	2989	5	1	2	1	1020898	1021741	1022442	1023887
2	2	7396.25	3	14792.5	0	0	1	1	0	1	8173	21412	8173	21412
2	3	48054.0	7	1045.0	306	1784	3	1	2	1	46974	48089	48395	48758
2	3	112801.25	0	2073.5	34	4113	2	1	1	1	111645	111884	111918	115758
2	3	180150.0	0	200.0	33	367	3	3	3	1	179890	180210	180243	180257
2	3	260466.0	2	93.0	0	0	2	0	0	1	260349	260490	260494	260531
2	3	48998.75	1	391.5	183	600	2	1	0	1	48758	48848	49031	49358
2	3	48998.75	9	391.5	183	600	2	1	0	1	48758	48848	49031	49358
2	4	196.5	0	29.0	4	54	2	1	0	1	159	205	209	213
2	4	303781.75	0	384.5	0	769	1	3	4	1	303472	303707	303707	304241
2	4	868673.0	0	59.0	0	118	1	1	4	1	868600	868687	868687	868718
2	4	91.0	4	182.0	0	0	2	0	0	1	148	159	159	205
2	4	124941.75	1	2612.5	2006	3219	11	3	0	1	123310	123961	125967	126529
2	4	812465.0	1	2262.0	1861	2663	5	1	0	1	810986	811682	813543	813649
2	4	124941.75	10	2612.5	2006	3219	11	3	0	1	123310	123961	125967	126529
2	4	812465.0	10	2262.0	1861	2663	5	1	0	1	810986	811682	813543	813649
2	6	64562.5	0	105.0	0	210	1	1	4	1	64509	64511	64511	64719
