chr start end mid COcount NCOcount SNPcount cross Introgression CO_NCO_ratio telomere_dist homology GC
1 1 20000 10000.5 0 0 0 natural 0 NA 10000.5 0.998349917495875 0.4293
1 20001 40000 30000.5 0 7 1 natural 0 0 30000.5 0.999949997499875 0.4647
1 40001 60000 50000.5 7 1 26 natural 0 7 50000.5 0.99869993499675 0.4379
1 60001 80000 70000.5 5 1 40 natural 0 5 70000.5 0.997999899995 0.4074
1 80001 1e+05 90000.5 3 2 52 natural 0 1.5 90000.5 0.9973998699935 0.4584
1 100001 120000 110000.5 14 0 19 natural 0 Inf 79980.5 0.998374918745937 0.434
1 120001 140000 130000.5 0 0 39 natural 0 NA 59980.5 0.998049902495125 0.38075
1 140001 160000 150000.5 25 1 1 natural 0 25 39980.5 0.999849992499625 0.4147
1 160001 180000 170000.5 12 9 95 natural 0 1.33333333333333 19980.5 0.995199759987999 0.4155
1 180001 2e+05 190000.5 1 1 34 natural 0 1 0 0.998174908745437 0.17375
2 1 20000 10000.5 4 0 36 natural 0 Inf 10000.5 0.994299714985749 0.4102
2 20001 40000 30000.5 13 3 39 natural 0 4.33333333333333 30000.5 0.998049902495125 0.40495
2 40001 60000 50000.5 4 0 90 natural 0 Inf 50000.5 0.995499774988749 0.3877
2 60001 80000 70000.5 5 4 57 natural 0 1.25 70000.5 0.997149857492875 0.3916
2 80001 1e+05 90000.5 4 3 60 natural 0 1.33333333333333 90000.5 0.9969998499925 0.4054
2 100001 120000 110000.5 11 0 2 natural 0 Inf 110000.5 0.99989999499975 0.3969
2 120001 140000 130000.5 4 0 39 natural 0 Inf 130000.5 0.997999899995 0.4155
2 140001 160000 150000.5 8 3 0 natural 0 2.66666666666667 150000.5 1 0.3933
2 160001 180000 170000.5 11 0 88 natural 0 Inf 170000.5 0.995599779988999 0.40535
2 180001 2e+05 190000.5 14 5 47 natural 0 2.8 190000.5 0.996349817490875 0.4654
2 200001 220000 210000.5 6.75 0 1 natural 0 Inf 210000.5 0.999949997499875 0.3908
2 220001 240000 230000.5 3.5 0 0 natural 0 Inf 230000.5 1 0.37515
2 240001 260000 250000.5 6.25 0 6 natural 0 Inf 250000.5 0.99969998499925 0.4167
2 260001 280000 270000.5 5 0 0 natural 0 Inf 270000.5 1 0.3807
2 280001 3e+05 290000.5 11.5 1 21 natural 0 11.5 290000.5 0.998949947497375 0.3982
2 300001 320000 310000.5 5.5 0 1 natural 0 Inf 310000.5 0.999949997499875 0.38445
2 320001 340000 330000.5 5 0 0 natural 0 Inf 330000.5 1 0.38605
2 340001 360000 350000.5 7 0 1 natural 0 Inf 350000.5 0.999949997499875 0.3896
2 360001 380000 370000.5 7 0 0 natural 0 Inf 370000.5 1 0.39125
2 380001 4e+05 390000.5 8 0 1 natural 0 Inf 390000.5 0.999949997499875 0.3933
2 400001 420000 410000.5 7 0 0 natural 0 Inf 410000.5 0.999974998749937 0.385
2 420001 440000 430000.5 15.5 0 1 natural 0 Inf 430000.5 0.999949997499875 0.3883
2 440001 460000 450000.5 0 0 1 natural 0 NA 450000.5 0.999949997499875 0.3838
2 460001 480000 470000.5 5 0 41 natural 0 Inf 470000.5 0.997949897494875 0.38145
2 480001 5e+05 490000.5 3.5 0 66 natural 0 Inf 490000.5 0.99669983499175 0.39
2 500001 520000 510000.5 7 0 0 natural 0 Inf 510000.5 1 0.39245
2 520001 540000 530000.5 7 0 0 natural 0 Inf 530000.5 1 0.37315
2 540001 560000 550000.5 7 0 0 natural 0 Inf 550000.5 1 0.39
2 560001 580000 570000.5 7 1 0 natural 0 7 570000.5 1 0.39075
2 580001 6e+05 590000.5 4.5 0 1 natural 0 Inf 590000.5 0.999924996249812 0.387
2 600001 620000 610000.5 2 0 0 natural 0 Inf 610000.5 1 0.38825
2 620001 640000 630000.5 4 0 42 natural 0 Inf 630000.5 0.99789989499475 0.4162
2 640001 660000 650000.5 1 1 146 natural 0 1 639934.5 0.992699634981749 0.3989
2 660001 680000 670000.5 5 2 165 natural 0 2.5 619934.5 0.991724586229311 0.37845
2 680001 7e+05 690000.5 3 0 139 natural 0 Inf 599934.5 0.993049652482624 0.37885
2 700001 720000 710000.5 15 3 117 natural 0 5 579934.5 0.994099704985249 0.4138
2 720001 740000 730000.5 2 0 248 natural 0 Inf 559934.5 0.987474373718686 0.4031
2 740001 760000 750000.5 2 0 207 natural 0 Inf 539934.5 0.989599479973999 0.38205
2 760001 780000 770000.5 11 4 140 natural 0 2.75 519934.5 0.992999649982499 0.3969
2 780001 8e+05 790000.5 2 1 158 natural 0 2 499934.5 0.991949597479874 0.3785
2 800001 820000 810000.5 2 0 142 natural 0 Inf 479934.5 0.992899644982249 0.3882
2 820001 840000 830000.5 4 3 141 natural 0 1.33333333333333 459934.5 0.992949647482374 0.39185
2 840001 860000 850000.5 4.125 1 81 natural 0 4.125 439934.5 0.995949797489874 0.39205
2 860001 880000 870000.5 6.25 0 0 natural 0 Inf 419934.5 1 0.37915
2 880001 9e+05 890000.5 6.25 0 0 natural 0 Inf 399934.5 1 0.40325
2 900001 920000 910000.5 6.25 0 0 natural 0 Inf 379934.5 0.999174958747937 0.37645
2 920001 940000 930000.5 7.7917 0 1 natural 0 Inf 359934.5 0.9997999899995 0.39425
2 940001 960000 950000.5 7.3333 0 0 natural 0 Inf 339934.5 1 0.38835
2 960001 980000 970000.5 7.3333 0 0 natural 0 Inf 319934.5 1 0.38125
2 980001 1e+06 990000.5 4.6667 0 0 natural 0 Inf 299934.5 0.999749987499375 0.4092
2 1000001 1020000 1010000.5 6 1 50 natural 0 6 279934.5 0.99749987499375 0.41305
2 1020001 1040000 1030000.5 9 1 35 natural 0 9 259934.5 0.998249912495625 0.4078
2 1040001 1060000 1050000.5 2 0 61 natural 0 Inf 239934.5 0.996849842492125 0.40175
2 1060001 1080000 1070000.5 2 0 37 natural 0 Inf 219934.5 0.998149907495375 0.4025
2 1080001 1100000 1090000.5 7 2 117 natural 0 3.5 199934.5 0.994149707485374 0.41105
2 1100001 1120000 1110000.5 6 1 38 natural 0 6 179934.5 0.99809990499525 0.39
2 1120001 1140000 1130000.5 1 2 36 natural 0 0.5 159934.5 0.9981999099955 0.39075
2 1140001 1160000 1150000.5 2 2 61 natural 0 1 139934.5 0.996849842492125 0.39735
2 1160001 1180000 1170000.5 12 1 58 natural 0 12 119934.5 0.996949847492375 0.43195
2 1180001 1200000 1190000.5 4 5 39 natural 0 0.8 99934.5 0.998049902495125 0.42665
2 1200001 1220000 1210000.5 1 1 24 natural 0 1 79934.5 0.998799939997 0.3716
2 1220001 1240000 1230000.5 26 0 39 natural 0 Inf 59934.5 0.998049902495125 0.4108
2 1240001 1260000 1250000.5 4 4 58 natural 0 1 39934.5 0.99709985499275 0.3837
2 1260001 1280000 1270000.5 50 0 259 natural 0 Inf 19934.5 0.986824341217061 0.3986
2 1280001 1300000 1290000.5 0 0 101 natural 0 NA 0 0.994349717485874 0.20025
3 1 20000 10000.5 1 1 199 natural 0 1 10000.5 0.989949497474874 0.42855
3 20001 40000 30000.5 0 0 4 natural 0 NA 30000.5 0.999649982499125 0.3702
3 40001 60000 50000.5 7 0 43 natural 0 Inf 50000.5 0.9977998899945 0.38095
3 60001 80000 70000.5 1 0 90 natural 0 Inf 70000.5 0.995399769988499 0.3847
3 80001 1e+05 90000.5 3 0 118 natural 0 Inf 90000.5 0.993999699984999 0.37105
3 100001 120000 110000.5 4 0 43 natural 0 Inf 110000.5 0.997849892494625 0.3792
3 120001 140000 130000.5 32 4 74 natural 0 8 130000.5 0.996299814990749 0.49515
3 140001 160000 150000.5 5 4 232 natural 0 1.25 145074.5 0.987249362468123 0.4204
3 160001 180000 170000.5 10 3 55 natural 0 3.33333333333333 125074.5 0.997249862493125 0.4475
3 180001 2e+05 190000.5 8 0 22 natural 0 Inf 105074.5 0.998724936246812 0.40845
3 200001 220000 210000.5 51 0 7 natural 0 Inf 85074.5 0.997649882494125 0.375
3 220001 240000 230000.5 1 0 43 natural 0 Inf 65074.5 0.997849892494625 0.38125
3 240001 260000 250000.5 11 1 62 natural 0 11 45074.5 0.996849842492125 0.4013
3 260001 280000 270000.5 21 11 38 natural 0 1.90909090909091 25074.5 0.997999899995 0.4663
3 280001 3e+05 290000.5 13 4 160 natural 0 3.25 5074.5 0.991649582479124 0.3322
