chr start end mid COcount NCOcount SNPcount cross Introgression CO_NCO_ratio telomere_dist homology
1 1 20000 10000.5 0 0 0 natural 0 NA 10000.5 0.998349917495875
1 20001 40000 30000.5 0 0 1 natural 0 NA 30000.5 0.999949997499875
1 40001 60000 50000.5 7 9.28505106778087 26 natural 0 0.7539 50000.5 0.99869993499675
1 60001 80000 70000.5 5 0 40 natural 0 Inf 70000.5 0.997999899995
1 80001 1e+05 90000.5 3 10.3626943005181 52 natural 0 0.2895 90000.5 0.9973998699935
1 100001 120000 110000.5 14 0 19 natural 0 Inf 79980.5 0.998374918745937
1 120001 140000 130000.5 0 0 39 natural 0 NA 59980.5 0.998049902495125
1 140001 160000 150000.5 25 0 1 natural 0 Inf 39980.5 0.999849992499625
1 160001 180000 170000.5 12 20.9041024301019 95 natural 0 0.57405 19980.5 0.995199759987999
1 180001 2e+05 190000.5 1 6.18046971569839 34 natural 0 0.1618 0 0.998174908745437
2 1 20000 10000.5 4 0 36 natural 0 Inf 10000.5 0.994299714985749
2 20001 40000 30000.5 13 15.527950310559 39 natural 0 0.8372 30000.5 0.998049902495125
2 40001 60000 50000.5 4 0 90 natural 0 Inf 50000.5 0.995499774988749
2 60001 80000 70000.5 5 18.2898948331047 57 natural 0 0.273375 70000.5 0.997149857492875
2 80001 1e+05 90000.5 4 11.9521912350598 60 natural 0 0.334666666666667 90000.5 0.9969998499925
2 100001 120000 110000.5 11 0 2 natural 0 Inf 110000.5 0.99989999499975
2 120001 140000 130000.5 4 0 39 natural 0 Inf 130000.5 0.997999899995
2 140001 160000 150000.5 8 0 0 natural 0 Inf 150000.5 1
2 160001 180000 170000.5 11 0 88 natural 0 Inf 170000.5 0.995599779988999
2 180001 2e+05 190000.5 14 21.1416490486258 47 natural 0 0.6622 190000.5 0.996349817490875
2 200001 220000 210000.5 6.75 0 1 natural 0 Inf 210000.5 0.999949997499875
2 220001 240000 230000.5 3.5 0 0 natural 0 Inf 230000.5 1
2 240001 260000 250000.5 6.25 0 6 natural 0 Inf 250000.5 0.99969998499925
2 260001 280000 270000.5 5 0 0 natural 0 Inf 270000.5 1
2 280001 3e+05 290000.5 11.5 14.9700598802395 21 natural 0 0.7682 290000.5 0.998949947497375
2 300001 320000 310000.5 5.5 0 1 natural 0 Inf 310000.5 0.999949997499875
2 320001 340000 330000.5 5 0 0 natural 0 Inf 330000.5 1
2 340001 360000 350000.5 7 0 1 natural 0 Inf 350000.5 0.999949997499875
