chr	start	end	mid	COcount	NCOcount	SNPcount
1	1	20000	10000.5	3	4	71
1	20001	40000	30000.5	11.25	2	18
1	40001	60000	50000.5	16.5	1	0
1	60001	80000	70000.5	8.25	0	6
1	80001	1.00E+05	90000.5	3	1	56
1	100001	120000	110000.5	7	7	68
1	120001	140000	130000.5	0	0	2
1	140001	160000	150000.5	23	1	37
1	160001	180000	170000.5	20	3	88
1	180001	2.00E+05	190000.5	0	0	27
2	1	20000	10000.5	1	0	1
2	20001	40000	30000.5	3	2	68
2	40001	60000	50000.5	9.5	3	23
2	60001	80000	70000.5	7	1	0
2	80001	1.00E+05	90000.5	4.5	2	32
2	100001	120000	110000.5	2	1	23
2	120001	140000	130000.5	3	3	60
2	140001	160000	150000.5	4	2	55
2	160001	180000	170000.5	7	3	92
2	180001	2.00E+05	190000.5	8	1	16
2	200001	220000	210000.5	2	0	0
2	220001	240000	230000.5	2	0	1
2	240001	260000	250000.5	1	0	15
2	260001	280000	270000.5	7	0	3
2	280001	3.00E+05	290000.5	5	0	37
2	300001	320000	310000.5	5.5	0	43
2	320001	340000	330000.5	5	1	0
2	340001	360000	350000.5	5	0	0
2	360001	380000	370000.5	5.5	0	3
2	380001	4.00E+05	390000.5	3	1	22
2	400001	420000	410000.5	5	1	44
2	420001	440000	430000.5	5	1	100
2	440001	460000	450000.5	3	2	41
2	460001	480000	470000.5	0	0	40
2	480001	5.00E+05	490000.5	4.5	0	24
2	500001	520000	510000.5	5	0	0
2	520001	540000	530000.5	2.5	0	3
2	540001	560000	550000.5	8	0	1
2	560001	580000	570000.5	7	2	28
2	580001	6.00E+05	590000.5	3	6	63
2	600001	620000	610000.5	0	1	48
2	620001	640000	630000.5	5	1	54
2	640001	660000	650000.5	4.5	0	34
2	660001	680000	670000.5	3	0	0
2	680001	7.00E+05	690000.5	2.5	1	67
2	700001	720000	710000.5	6	6	215
2	720001	740000	730000.5	2.375	3	89
2	740001	760000	750000.5	4.75	0	0
2	760001	780000	770000.5	4.75	0	0
2	780001	8.00E+05	790000.5	4.75	0	0
2	800001	820000	810000.5	6.375	0	1
2	820001	840000	830000.5	3	0	2
2	840001	860000	850000.5	8	0	91
2	860001	880000	870000.5	1	2	168
2	880001	9.00E+05	890000.5	2	0	1
2	900001	920000	910000.5	4	0	0
2	920001	940000	930000.5	4	0	0
2	940001	960000	950000.5	3	0	2
2	960001	980000	970000.5	0	0	47
2	980001	1.00E+06	990000.5	7	2	73
2	1000001	1020000	1010000.5	8	3	62
2	1020001	1040000	1030000.5	7	2	31
2	1040001	1060000	1050000.5	4.25	0	10
2	1060001	1080000	1070000.5	2.5	0	0
2	1080001	1100000	1090000.5	9.25	0	7
2	1100001	1120000	1110000.5	0	3	32
2	1120001	1140000	1130000.5	3.4	0	1
2	1140001	1160000	1150000.5	6.8	0	0
2	1160001	1180000	1170000.5	6.8	0	0
2	1180001	1200000	1190000.5	6.8	0	0
2	1200001	1220000	1210000.5	6.8	0	0
2	1220001	1240000	1230000.5	4.65	0	1
2	1240001	1260000	1250000.5	2.5	0	0
2	1260001	1280000	1270000.5	43.25	0	44
2	1280001	1300000	1290000.5	0	0	38
3	1	20000	10000.5	0	0	0
3	20001	40000	30000.5	0	0	4
3	40001	60000	50000.5	3	1	47
3	60001	80000	70000.5	5	2	96
3	80001	1.00E+05	90000.5	1	0	25
3	100001	120000	110000.5	4	1	41
3	120001	140000	130000.5	19	2	16
3	140001	160000	150000.5	18	0	1
3	160001	180000	170000.5	9	1	2
3	180001	2.00E+05	190000.5	5	1	55
3	200001	220000	210000.5	6	4	35
3	220001	240000	230000.5	37	2	41
3	240001	260000	250000.5	7	1	62
3	260001	280000	270000.5	24	6	13
3	280001	3.00E+05	290000.5	0	0	4
4	1	20000	10000.5	2	3	33
4	20001	40000	30000.5	11	0	3
4	40001	60000	50000.5	8	2	44
4	60001	80000	70000.5	6	1	48
4	80001	1.00E+05	90000.5	1	4	32
4	100001	120000	110000.5	5	0	25
4	120001	140000	130000.5	7	1	46
4	140001	160000	150000.5	6	2	69
4	160001	180000	170000.5	1	0	57
4	180001	2.00E+05	190000.5	2	0	31
4	200001	220000	210000.5	7	3	30
4	220001	240000	230000.5	1	0	13
4	240001	260000	250000.5	1.75	0	2
4	260001	280000	270000.5	3.5	0	0
4	280001	3.00E+05	290000.5	6.75	3	32
4	300001	320000	310000.5	5	0	35
4	320001	340000	330000.5	0	0	43
4	340001	360000	350000.5	7	0	17
4	360001	380000	370000.5	8	0	1
4	380001	4.00E+05	390000.5	7	0	1
4	400001	420000	410000.5	5.7857	0	2
4	420001	440000	430000.5	3.5714	0	0
4	440001	460000	450000.5	3.5714	0	0
4	460001	480000	470000.5	3.5714	0	0
4	480001	5.00E+05	490000.5	3.5714	0	0
4	500001	520000	510000.5	3.5714	0	0
4	520001	540000	530000.5	3.5714	0	0
4	540001	560000	550000.5	3.7557	2	26
4	560001	580000	570000.5	6	0	7
4	580001	6.00E+05	590000.5	3.75	0	12
4	600001	620000	610000.5	5.5	0	0
4	620001	640000	630000.5	5.5	0	0
4	640001	660000	650000.5	5.5	0	0
4	660001	680000	670000.5	4.75	0	1
4	680001	7.00E+05	690000.5	2	0	0
4	700001	720000	710000.5	2.75	0	1
4	720001	740000	730000.5	3.5	0	0
