tetrad	chr	pos(bp)	tracttype	tractlen	tractminlen	tractmaxlen	marker	YJM.SNP	chromatids	oftract	snpstartout	snpstartin	snpendin	snpendout
1	2	33762.25	0	145.5	0	291	1	3	3	1	33547	33832	33832	33838
1	2	61677.75	0	406.5	0	813	1	3	1	1	61263	61686	61686	62076
1	2	653174.5	0	67.0	0	134	1	1	1	1	653092	653190	653190	653226
1	2	1084998.25	0	110.5	0	221	1	1	2	1	1084852	1085034	1085034	1085073
1	2	1139779.5	0	1339.0	174	2504	3	3	1	1	1138531	1139689	1139863	1141035
1	2	1276281.75	0	28.5	0	57	1	3	1	1	1276263	1276272	1276272	1276320
1	2	1051104.5	4	475853.0	0	0	1	0	0	1	1288921	1289141	813178	813178
1	2	733949.75	1	2370.5	2030	2711	41	3	0	1	732496	733033	735063	735207
1	2	1095208.5	1	3049.0	2131	3967	10	1	0	1	1093511	1093857	1095988	1097478
1	2	1097370.0	6	1274.0	0	2548	1	1	2	1	1095988	1097478	1097478	1098536
1	2	1095208.5	8	3049.0	2131	3967	10	1	0	1	1093511	1093857	1095988	1097478
1	2	733949.75	10	2370.5	2030	2711	41	3	0	1	732496	733033	735063	735207
1	3	61270.75	0	85.5	0	171	1	1	0	1	61203	61253	61253	61374
1	3	219735.0	7	69.0	42	96	2	1	2	1	219680	219721	219763	219776
1	3	220308.0	0	155.0	0	310	1	1	1	1	220148	220313	220313	220458
1	3	294717.5	0	49.0	0	98	1	3	3	1	294672	294714	294714	294770
1	3	61064.75	2	326.5	0	0	1	0	0	1	60600	61203	61203	61253
1	3	275003.75	2	626.5	0	0	1	4	0	1	274148	275233	275233	275401
1	3	294982.5	2	147.0	0	0	1	0	0	1	294770	295048	295048	295064
1	3	51277.25	1	944.5	247	1642	2	1	0	1	50532	51078	51325	52174
1	3	138400.25	1	2255.5	1400	3111	26	3	0	1	136843	137702	139102	139954
1	3	216870.0	1	5563.0	0	11126	1	1	0	1	208529	219648	219648	219655
1	3	5607.75	5	3520.5	721	3732	57	none	"[1, 3]"	1	3801	3939	4660	7533
1	3	51277.25	10	944.5	247	1642	2	1	0	1	50532	51078	51325	52174
1	3	138400.25	10	2255.5	1400	3111	26	3	0	1	136843	137702	139102	139954
1	3	216870.0	9	5563.0	0	11126	1	1	0	1	208529	219648	219648	219655
1	4	335514.5	0	105.0	0	210	1	1	1	1	335456	335468	335468	335666
1	4	894503.0	0	277.0	0	554	1	1	1	1	894197	894532	894532	894751
1	4	947098.75	1	4722.5	3608	5837	13	1	0	1	944725	944750	948358	950562
1	4	97268.75	1	1143.5	0	2287	1	3	0	1	96405	96989	96989	98692
1	4	956775.0	1	2365.0	1738	2992	11	3	0	1	955169	956016	957754	958161
1	4	945436.0	6	515.0	9	1021	2	3	4	1	944794	945563	945572	945815
1	4	947098.75	8	4722.5	3608	5837	13	1	0	1	944725	944750	948358	950562
1	4	97268.75	10	1143.5	0	2287	1	3	0	1	96405	96989	96989	98692
1	4	956775.0	10	2365.0	1738	2992	11	3	0	1	955169	956016	957754	958161
1	5	1750.75	0	164.5	0	329	1	1	3	1	1609	1728	1728	1938
1	5	19058.0	0	72.0	0	144	1	3	1	1	18974	19070	19070	19118
1	5	27307.25	0	19.5	0	39	1	3	1	1	27284	27311	27311	27323
1	5	87529.25	0	73.5	0	147	1	3	1	1	87455	87530	87530	87602
1	5	95029.0	0	196.0	0	392	1	1	3	1	94784	95078	95078	95176
1	5	352233.0	1	2054.0	1183	2925	5	1	0	1	350873	351539	352722	353798
1	5	352233.0	10	2054.0	1183	2925	5	1	0	1	350873	351539	352722	353798
1	6	78674.5	0	2948.0	2028	3868	8	3	4	1	76926	77475	79503	80794
1	6	99669.25	0	275.5	0	551	1	3	1	1	99445	99618	99618	99996
1	6	129314.25	0	2086.5	0	4173	1	3	1	1	128064	128478	128478	132237
1	6	220629.5	7	299.0	22	576	2	3	2	1	220347	220613	220635	220923
1	6	231121.25	0	683.5	0	1367	1	3	1	1	230387	231172	231172	231754
1	6	256213.25	1	4209.5	3794	4625	19	1	0	1	253909	254308	258102	258534
1	6	216755.75	1	4021.5	3381	4662	18	1	0	1	214491	214999	218380	219153
1	6	256213.25	10	4209.5	3794	4625	19	1	0	1	253909	254308	258102	258534
1	6	216755.75	9	4021.5	3381	4662	18	1	0	1	214491	214999	218380	219153
1	7	388640.75	0	1402.5	0	2805	1	1	2	1	386858	389021	389021	389663
1	7	390633.75	7	1125.5	75	2176	3	1	2	1	389663	390479	390554	391839
1	7	474687.25	0	2702.5	0	5405	1	1	4	1	471817	474855	474855	477222
1	7	486827.5	0	1603.0	0	3206	1	1	1	1	484891	487161	487161	488097
1	7	568724.75	0	718.5	0	1437	1	1	1	1	568021	568710	568710	569458
1	7	569927.5	0	286.0	0	572	1	1	1	1	569668	569901	569901	570240
1	7	637309.5	0	113.0	29	197	2	1	1	1	637179	637327	637356	637376
1	7	638915.25	0	180.5	0	361	1	1	1	1	638669	638981	638981	639030
1	7	643914.0	0	120.0	0	240	1	1	1	1	643803	643905	643905	644043
1	7	644141.25	0	76.5	0	153	1	1	1	1	644043	644163	644163	644196
1	7	31095.75	2	35582.5	0	0	7	0	0	1	9495	17114	17137	80637
1	7	411781.0	2	1370.0	0	0	1	0	0	1	410929	411263	411263	413669
1	7	2510.0	4	5020.0	0	0	1	4	0	1	545	9495	545	9495
1	8	623431.0	0	499.0	0	998	1	1	3	1	622791	623572	623572	623789
1	8	796396.5	0	33.0	0	66	1	3	1	1	796370	796390	796390	796436
1	8	595075.75	2	1582.5	0	0	1	4	0	1	593387	595182	595182	596552
1	8	589590.25	1	531.5	79	984	6	3	0	1	589224	589425	589504	590208
1	8	589590.25	10	531.5	79	984	6	3	0	1	589224	589425	589504	590208
1	9	178274.0	0	13927.0	0	27854	1	3	3	1	170669	171952	171952	198523
1	9	302681.25	6	273.5	0	547	1	1	1	1	302412	302677	302677	302959
1	9	369679.25	0	16.5	0	33	1	1	1	1	369662	369680	369680	369695
1	9	370871.5	0	572.0	0	1144	1	1	1	1	370106	371065	371065	371250
1	9	300311.0	1	882.0	521	1243	5	3	0	1	299711	300029	300550	300954
1	9	300311.0	8	882.0	521	1243	5	3	0	1	299711	300029	300550	300954
1	10	210373.0	0	67.0	4	130	2	3	3	1	210339	210340	210344	210469
1	10	269178.75	0	219.5	0	439	1	1	3	1	268988	269150	269150	269427
1	10	306663.75	0	183.5	0	367	1	1	1	1	306555	306589	306589	306922
1	10	527677.25	0	244.5	0	489	1	1	1	1	527399	527711	527711	527888
1	10	529864.5	0	302.0	0	604	1	1	1	1	529464	529963	529963	530068
1	10	534609.25	0	510.5	0	1021	1	1	1	1	534144	534564	534564	535165
1	10	544074.75	0	420.5	0	841	1	1	1	1	543785	543944	543944	544626
1	10	724265.25	0	349.5	0	699	1	1	1	1	724017	724164	724164	724716
1	10	774849.25	0	88.5	0	177	1	1	1	1	774751	774859	774859	774928
1	10	985430.0	0	50.0	18	82	4	1	3	1	985385	985425	985443	985467
