tetrad	chr	pos(bp)	co_type	chromatids	GCasso_tract_len	GCasso_marker	GCasso	snp_start_out	snp_start_in	snp_end_in	snp_end_out
1	1	145745.0	0	"[3, 4]"	0	0	0	132343	159147	132343	159147
1	1	160367.0	0	"[1, 4]"	0	0	0	160075	160659	160075	160659
1	2	733949.75	1	"[1, 2]"	2370.5	41	1	735063	735207	732496	733033
1	2	364605.0	5	"[2, 1]"	0	0	0	340071	389139	340071	389139
1	2	364605.0	5	"[3, 4]"	0	0	0	340071	389139	340071	389139
1	2	1095208.5	3	"[3, 4]"	3049.0	10	1	1093511	1093857	1095988	1097478
1	2	1268357.0	0	"[2, 4]"	0	0	0	1267837	1268877	1267837	1268877
1	2	660972.5	4	"[2, 4]"	3607.0	35	0	659011	659327	662952	662953
1	2	39106.0	0	"[1, 3]"	0	0	0	34847	43365	34847	43365
1	2	964901.5	0	"[3, 4]"	0	0	0	925425	1004378	925425	1004378
1	2	1221412.5	0	"[3, 4]"	0	0	0	1219709	1223116	1219709	1223116
1	2	404631.0	0	"[1, 3]"	0	0	0	389139	420123	389139	420123
1	2	541172.0	5	"[4, 1]"	0	0	0	486175	596169	486175	596169
1	2	541172.0	5	"[3, 2]"	0	0	0	486175	596169	486175	596169
1	3	51277.25	1	"[1, 3]"	944.5	2	1	50532	51078	51325	52174
1	3	124119.5	0	"[1, 4]"	0	0	0	122625	125614	122625	125614
1	3	138400.25	1	"[3, 4]"	2255.5	26	1	139102	139954	136843	137702
1	3	216870.0	1	"[2, 4]"	5563.0	1	1	219648	219655	208529	219648
1	3	259405.5	0	"[2, 4]"	0	0	0	258735	260076	258735	260076
1	4	947098.75	8	"[1, 2]"	4722.5	13	1	944725	944750	948358	950562
1	4	568338.5	4	"[2, 4]"	65604.0	3	0	535514	535559	608491	645497
1	4	241832.5	0	"[3, 4]"	0	0	0	223598	260067	223598	260067
1	4	410334.5	0	"[1, 3]"	0	0	0	404732	415937	404732	415937
1	4	669792.5	0	"[1, 4]"	0	0	0	645497	694088	645497	694088
1	4	97268.75	1	"[2, 4]"	1143.5	1	1	96405	96989	96989	98692
1	4	47000.5	0	"[2, 3]"	0	0	0	40719	53282	40719	53282
1	4	292298.0	0	"[1, 4]"	0	0	0	291858	292738	291858	292738
1	4	956775.0	1	"[2, 4]"	2365.0	11	1	957754	958161	955169	956016
1	5	280127.0	0	"[1, 3]"	0	0	0	279319	280935	279319	280935
1	5	228180.0	0	"[1, 3]"	0	0	0	211647	244713	211647	244713
1	5	352233.0	1	"[2, 4]"	2054.0	5	1	350873	351539	352722	353798
1	5	431503.5	0	"[1, 4]"	0	0	0	391932	471075	391932	471075
1	6	256213.25	1	"[1, 4]"	4209.5	19	1	258102	258534	253909	254308
1	6	390457.5	0	"[1, 4]"	0	0	0	389165	391750	389165	391750
1	6	216755.75	1	"[2, 4]"	4021.5	18	1	214491	214999	218380	219153
1	7	736197.0	0	"[1, 3]"	0	0	0	733569	738825	733569	738825
1	7	112534.0	0	"[3, 4]"	0	0	0	112234	112834	112234	112834
1	7	392614.5	0	"[1, 2]"	0	0	0	391839	393390	391839	393390
1	7	660997.0	0	"[1, 3]"	0	0	0	652266	669728	652266	669728
1	7	851948.5	0	"[1, 2]"	0	0	0	842790	861107	842790	861107
1	8	534280.5	0	"[1, 2]"	0	0	0	502098	566463	502098	566463
1	8	314160.5	0	"[1, 3]"	0	0	0	277526	350795	277526	350795
1	8	589590.25	1	"[2, 3]"	531.5	6	1	589504	590208	589224	589425
1	8	378169.0	0	"[1, 3]"	0	0	0	363041	393297	363041	393297
1	9	75863.5	0	"[2, 3]"	0	0	0	47455	104272	47455	104272
1	9	300311.0	1	"[2, 4]"	882.0	5	1	300550	300954	299711	300029
1	10	192063.75	1	"[1, 3]"	3773.5	16	1	193293	194608	189914	190440
1	10	841784.5	0	"[2, 3]"	0	0	0	841226	842343	841226	842343
1	10	379753.5	8	"[1, 3]"	4851.0	8	1	382053	382305	376085	378571
1	10	753871.0	0	"[2, 4]"	0	0	0	743056	764686	743056	764686
1	10	337930.0	0	"[1, 4]"	0	0	0	329186	346674	329186	346674
1	10	53698.75	1	"[3, 4]"	714.5	2	1	53897	54215	53176	53507
1	10	253963.75	1	"[2, 3]"	520.5	1	1	254110	254338	253297	254110
1	10	5697.5	0	"[2, 3]"	0	0	0	5348	6047	5348	6047
1	11	447057.0	1	"[3, 4]"	2023.0	1	1	444759	447332	447332	448805
1	11	508983.5	0	"[3, 4]"	0	0	0	507915	510052	507915	510052
1	11	212096.5	0	"[1, 3]"	0	0	0	191636	232557	191636	232557
1	11	111969.5	0	"[1, 3]"	0	0	0	72792	151147	72792	151147
1	12	364610.5	0	"[2, 3]"	0	0	0	343205	386016	343205	386016
1	12	322171.5	0	"[2, 4]"	0	0	0	301138	343205	301138	343205
1	13	21785.5	0	"[1, 2]"	0	0	0	14884	28687	14884	28687
1	13	802472.5	1	"[1, 2]"	2057.0	3	1	800606	802282	803204	803798
1	13	303313.0	0	"[3, 4]"	0	0	0	286201	320425	286201	320425
1	13	858627.5	1	"[2, 4]"	954.0	2	1	858836	859373	858044	858257
1	14	277478.5	0	"[1, 4]"	0	0	0	275419	279538	275419	279538
1	14	347322.25	8	"[3, 4]"	3779.5	14	1	348957	349467	345419	345446
1	14	673638.5	0	"[1, 3]"	0	0	0	644305	702972	644305	702972
1	14	421873.5	0	"[1, 2]"	0	0	0	367717	476030	367717	476030
1	14	535804.5	1	"[1, 2]"	280.0	1	1	535779	536110	535550	535779
1	14	191894.25	1	"[1, 4]"	1225.5	1	1	191752	193262	190811	191752
1	14	122140.0	0	"[2, 3]"	0	0	0	109093	135187	109093	135187
1	15	603479.5	0	"[2, 3]"	0	0	0	576850	630109	576850	630109
1	15	21055.25	3	"[1, 3]"	40524.5	1	1	989	81646	597	989
1	15	398921.5	0	"[2, 4]"	0	0	0	398635	399208	398635	399208
1	16	628390.75	1	"[1, 3]"	2691.5	7	1	626451	627639	629436	630037
1	16	840347.0	0	"[2, 4]"	0	0	0	830875	849819	830875	849819
1	16	27940.0	0	"[1, 2]"	0	0	0	23896	31984	23896	31984
1	16	699318.5	0	"[1, 3]"	0	0	0	683899	714738	683899	714738
1	16	396151.75	1	"[1, 3]"	3061.5	1	1	394035	395207	395207	400158
1	16	83529.25	1	"[1, 2]"	1314.5	3	1	83592	84781	82655	83089
1	16	523828.5	0	"[2, 4]"	0	0	0	522657	525000	522657	525000
2	1	99702.5	0	"[3, 4]"	0	0	0	95434	103971	95434	103971
2	1	153056.0	1	"[1, 2]"	14622.0	4	1	160075	160659	132343	159147
2	2	228690.0	0	"[3, 4]"	0	0	0	206599	250781	206599	250781
2	2	706795.75	1	"[2, 3]"	788.5	7	1	706382	706421	706996	707384
2	2	887278.0	0	"[3, 4]"	0	0	0	849131	925425	849131	925425
2	2	1268357.0	0	"[1, 2]"	0	0	0	1267837	1268877	1267837	1268877
2	2	964901.5	0	"[3, 4]"	0	0	0	925425	1004378	925425	1004378
2	2	438919.5	0	"[3, 4]"	0	0	0	420123	457716	420123	457716
2	2	541172.0	0	"[1, 3]"	0	0	0	486175	596169	486175	596169
2	4	699732.5	0	"[1, 2]"	0	0	0	694088	705377	694088	705377
